name:name	displayName:text	value:number	unit:name	comment:comment
baseValue	Base Value	100.0	number	A simple base value
multiplier	Multiplier	2.5	number	Used to scale other values
scaledValue	Scaled Value	=baseValue*multiplier	number	Demonstrates expression evaluation
pi	Pi	3.14159265359	number	Mathematical constant
radius	Radius	10.0	metre	Circle radius
circumference	Circumference	=2*pi*radius	metre	Calculated using pi and radius
area	Area	=pi*radius*radius	squareMetre	Circle area formula
taxRate	Tax Rate	0.21	percent	21% tax rate
basePrice	Base Price	50.0	number	Base price before tax
totalPrice	Total Price	=basePrice*(1+taxRate)	number	Price including tax
# Library usage examples (using code library 'mathLib' from libs/mathUtils.lua)
libArea	Library Area	=mathLib.circleArea(radius)	squareMetre	Using library function for area
libCirc	Library Circumference	=mathLib.circumference(radius)	metre	Using library function for circumference
lerpValue	Lerp Value	=mathLib.lerp(0, baseValue, 0.75)	number	Linear interpolation at 75%
clampedValue	Clamped Value	=mathLib.clamp(150, 0, baseValue)	number	Clamped to max of baseValue
